source/a/upload/ :文件夹视频转码服务开启...
source/b/upload/ :文件夹视频转码服务开启...
source/x/upload/ :文件夹视频转码服务开启...
2016551959w6684.mp4：视频转码完成进度: 49%
2016551959w6684.mp4：视频转码完成进度: 49%
20165519594554vq86614.mp4：视频转码完成进度: 41%
20165519594554vq86614.mp4：视频转码完成进度: 43%
20165519596684.mp4：视频转码完成进度: 49%
20165519591336vv4562.mp4：视频转码完成进度: 61%
2016551959w6684.mp4：视频转码完成进度: 49%
20165519596684.mp4：视频转码完成进度: 48%
2016551959w6684.mp4：视频转码完成进度: 49%
20165519591336vv4562.mp4：视频转码完成进度: 61%
20165519594554vq86614.mp4：视频转码完成进度: 43%
20165519594554vq86614.mp4：视频转码完成进度: 42%
20165519596684.mp4：视频转码完成进度: 49%
20165519596684.mp4：视频转码完成进度: 49%
20165519591336vv4562.mp4：视频转码完成进度: 62%
20165519591336vv4562.mp4：视频转码完成进度: 61%
2016551959w6684.mp4：视频转码完成进度: 49%
2016551959w6684.mp4：视频转码完成进度: 50%
20165519594554vq86614.mp4：视频转码完成进度: 43%
20165519596684.mp4：视频转码完成进度: 49%
20165519596684.mp4：视频转码完成进度: 50%
2016551959w6684.mp4：视频转码完成进度: 51%
20165519594554vq86614.mp4：视频转码完成进度: 44%
20165519591336vv4562.mp4：视频转码完成进度: 63%
2016551959w6684.mp4：视频转码完成进度: 51%
20165519594554vq86614.mp4：视频转码完成进度: 45%
20165519591336vv4562.mp4：视频转码完成进度: 62%
20165519596684.mp4：视频转码完成进度: 50%
20165519596684.mp4：视频转码完成进度: 51%
20165519594554vq86614.mp4：视频转码完成进度: 43%
2016551959w6684.mp4：视频转码完成进度: 52%
20165519594554vq86614.mp4：视频转码完成进度: 45%
2016551959w6684.mp4：视频转码完成进度: 52%
20165519591336vv4562.mp4：视频转码完成进度: 64%
20165519591336vv4562.mp4：视频转码完成进度: 63%
20165519596684.mp4：视频转码完成进度: 51%
20165519596684.mp4：视频转码完成进度: 52%
20165519594554vq86614.mp4：视频转码完成进度: 44%
2016551959w6684.mp4：视频转码完成进度: 53%
20165519594554vq86614.mp4：视频转码完成进度: 46%
2016551959w6684.mp4：视频转码完成进度: 53%
20165519591336vv4562.mp4：视频转码完成进度: 65%
20165519596684.mp4：视频转码完成进度: 52%
20165519591336vv4562.mp4：视频转码完成进度: 64%
20165519594554vq86614.mp4：视频转码完成进度: 44%
20165519596684.mp4：视频转码完成进度: 53%
20165519594554vq86614.mp4：视频转码完成进度: 47%
2016551959w6684.mp4：视频转码完成进度: 54%
2016551959w6684.mp4：视频转码完成进度: 54%
20165519591336vv4562.mp4：视频转码完成进度: 66%
20165519594554vq86614.mp4：视频转码完成进度: 46%
20165519596684.mp4：视频转码完成进度: 53%
20165519591336vv4562.mp4：视频转码完成进度: 66%
20165519596684.mp4：视频转码完成进度: 54%
20165519594554vq86614.mp4：视频转码完成进度: 48%
2016551959w6684.mp4：视频转码完成进度: 54%
2016551959w6684.mp4：视频转码完成进度: 54%
20165519591336vv4562.mp4：视频转码完成进度: 67%
20165519594554vq86614.mp4：视频转码完成进度: 47%
20165519596684.mp4：视频转码完成进度: 54%
2016551959w6684.mp4：视频转码完成进度: 55%
2016551959w6684.mp4：视频转码完成进度: 55%
20165519594554vq86614.mp4：视频转码完成进度: 49%
20165519596684.mp4：视频转码完成进度: 55%
20165519591336vv4562.mp4：视频转码完成进度: 67%
20165519591336vv4562.mp4：视频转码完成进度: 68%
20165519594554vq86614.mp4：视频转码完成进度: 47%
20165519596684.mp4：视频转码完成进度: 54%
20165519594554vq86614.mp4：视频转码完成进度: 49%
2016551959w6684.mp4：视频转码完成进度: 56%
2016551959w6684.mp4：视频转码完成进度: 56%
20165519591336vv4562.mp4：视频转码完成进度: 68%
20165519591336vv4562.mp4：视频转码完成进度: 69%
20165519596684.mp4：视频转码完成进度: 56%
20165519594554vq86614.mp4：视频转码完成进度: 48%
20165519596684.mp4：视频转码完成进度: 55%
2016551959w6684.mp4：视频转码完成进度: 57%
20165519594554vq86614.mp4：视频转码完成进度: 50%
2016551959w6684.mp4：视频转码完成进度: 57%
20165519591336vv4562.mp4：视频转码完成进度: 70%
20165519591336vv4562.mp4：视频转码完成进度: 69%
